Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:be:a0:de:39,00:1a:be:a0:de:52,00:1a:be:a0:de:64,00:1a:be:a0:de:72,00:1a:be:a0:de:73,00:1a:be:a0:de:89,00:1a:be:a0:de:90,00:1a:be:a0:de:91,00:1a:be:a0:de:92,00:1a:be:a0:de:93,00:1a:be:a0:de:94,00:1a:be:a0:de:95,00:1a:be:a0:de:96,00:1a:be:a0:df:01,00:1a:be:a0:df:02,00:1a:be:a0:df:03,00:1a:be:a0:df:08,00:1a:be:a0:df:11,00:1a:be:a0:df:20,00:1a:be:a0:df:22,00:1a:be:a0:df:28,00:1a:be:a0:df:29,00:1a:be:a0:df:36,00:1a:be:a0:df:45,00:1a:be:a0:df:46,00:1a:be:a0:df:47,00:1a:be:a0:df:48,00:1a:be:a0:df:49,00:1a:be:a0:df:50,00:1a:be:a0:df:51,00:1a:be:a0:df:52,00:1a:be:a0:df:56,00:1a:be:a0:df:57,00:1a:be:a0:df:58,00:1a:be:a0:df:64,00:1a:be:a0:df:67,00:1a:be:a0:df:73,00:1a:be:a0:df:75,00:1a:be:a0:de:40,00:1a:be:a0:de:43,00:1a:be:a0:de:53,00:1a:be:a0:de:56,00:1a:be:a0:de:80,00:1a:be:a0:df:12,00:1a:be:a0:df:68,00:1a:be:a0:de:66,00:1a:be:a0:de:37,00:1a:be:a0:df:34,00:1a:be:a0:de:78,00:1a:be:a0:de:84,00:1a:be:a0:df:13,00:1a:be:a0:df:40,00:1a:be:a0:df:69,00:1a:be:a0:de:44,00:1a:be:a0:de:57,00:1a:be:a0:de:67,00:1a:be:a0:de:82,00:1a:be:a0:df:23,00:1a:be:a0:de:81,00:1a:be:a0:df:37,00:1a:be:a0:de:65,00:1a:be:a0:df:21,00:1a:be:a0:df:38,00:1a:be:a0:de:68,00:1a:be:a0:df:06,00:1a:be:a0:df:24,00:1a:be:a0:df:62,00:1a:be:a0:de:32,00:1a:be:a0:de:46,00:1a:be:a0:de:58,00:1a:be:a0:de:79,00:1a:be:a0:df:14,00:1a:be:a0:df:15,00:1a:be:a0:df:35,00:1a:be:a0:df:70,00:1a:be:a0:df:71,00:1a:be:a0:de:05,00:1a:be:a0:de:33,00:1a:be:a0:de:04,00:1a:be:a0:de:83,00:1a:be:a0:df:39,00:1a:be:a0:df:09,00:1a:be:a0:df:65,00:1a:be:a0:de:34,00:1a:be:a0:de:41,00:1a:be:a0:de:49,00:1a:be:a0:de:54,00:1a:be:a0:de:88,00:1a:be:a0:de:97,00:1a:be:a0:df:44,00:1a:be:a0:df:53,00:1a:be:a0:df:63,00:1a:be:a0:de:36,00:1a:be:a0:de:50,00:1a:be:a0:de:70,00:1a:be:a0:df:07,00:1a:be:a0:df:10,00:1a:be:a0:df:26,00:1a:be:a0:de:31,00:1a:be:a0:de:74,00:1a:be:a0:de:86,00:1a:be:a0:df:30,00:1a:be:a0:df:42,00:1a:be:a0:de:76,00:1a:be:a0:df:32,00:1a:be:a0:de:08,00:1a:be:a0:de:12,00:1a:be:a0:de:69,00:1a:be:a0:df:25,00:1a:be:a0:de:85,00:1a:be:a0:df:41,00:1a:be:a0:de:62,00:1a:be:a0:df:18,00:1a:be:a0:de:87,00:1a:be:a0:de:98,00:1a:be:a0:df:43,00:1a:be:a0:df:54,00:1a:be:a0:de:71,00:1a:be:a0:de:75,00:1a:be:a0:df:27,00:1a:be:a0:df:31,00:1a:be:a0:de:17,00:1a:be:a0:df:04,00:1a:be:a0:df:59,00:1a:be:a0:de:15,00:1a:be:a0:de:63,00:1a:be:a0:df:05,00:1a:be:a0:df:19,00:1a:be:a0:df:60,00:1a:be:a0:de:99,00:1a:be:a0:df:55,00:1a:be:a0:de:16,00:1a:be:a0:de:77,00:1a:be:a0:de:02,00:1a:be:a0:de:27,00:1a:be:a0:de:30,00:1a:be:a0:df:33,00:1a:be:a0:de:26,00:1a:be:a0:de:03,00:1a:be:a0:de:21,00:1a:be:a0:de:25,00:1a:be:a0:de:01
2021.05.19 172000,102.0,69.0,26.89329079746835,-9.85860735443038,-30.120759012658226,0.2444207165841772,0.742732884113924,9.686924892405065,-0.002010442651582279,-0.004732272529746835,-0.0024705244696202533,-0.07660965931519295,-0.02521497438845215,-1.8383953382697287,1004.395890822785,-100.0,-100.0,-80.0,-70.0,-65.0,-72.0,-79.0,-100.0,-100.0,-73.0,-85.0,-100.0,-100.0,-67.0,-79.0,-100.0,-87.0,-100.0,-80.0,-80.0,-70.0,-65.0,-78.0,-72.0,-80.0,-84.0,-100.0,-76.0,-85.0,-100.0,-100.0,-66.0,-79.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-61.0,-100.0,-62.0,-100.0,-100.0,-100.0,-80.0,-100.0,-83.0,-82.0,-100.0,-81.0,-100.0,-82.0,-83.0,-83.0,-87.0,-100.0,-88.0,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172011,101.0,70.0,26.227825726708073,-12.243726394409938,-31.901738770186327,0.25052867150496894,0.7906962644099379,9.682954655279504,-3.035360652173988e-05,-0.004852774267391305,-0.003103650704347826,-0.08153573689716198,-0.0258829377648371,-1.9141935036049127,1004.3879536645962,-100.0,-100.0,-80.0,-100.0,-65.0,-69.0,-77.0,-85.0,-100.0,-79.0,-100.0,-100.0,-100.0,-68.0,-80.0,-100.0,-85.0,-100.0,-81.0,-71.0,-100.0,-65.0,-77.0,-68.0,-77.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-67.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-100.0,-66.0,-77.0,-100.0,-100.0,-72.0,-100.0,-78.0,-79.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0,-86.0,-73.0,-86.0,-100.0,-100.0,-87.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172138,94.0,77.0,30.951785255952377,-12.591428339285715,-29.316785321428576,0.17010233042857145,0.594716855952381,9.69349563095238,0.0019053178241071433,-0.004468770123511904,-0.005181446328869048,-0.061265817954249284,-0.017609209316367818,-1.9017690349192846,1004.3917595238096,-100.0,-100.0,-68.0,-61.0,-69.0,-65.0,-82.0,-81.0,-100.0,-79.0,-100.0,-88.0,-100.0,-66.0,-100.0,-100.0,-71.0,-88.0,-69.0,-62.0,-61.0,-70.0,-77.0,-64.0,-86.0,-81.0,-100.0,-100.0,-100.0,-88.0,-100.0,-69.0,-100.0,-100.0,-72.0,-86.0,-100.0,-100.0,-100.0,-53.0,-100.0,-54.0,-78.0,-100.0,-100.0,-100.0,-100.0,-75.0,-74.0,-100.0,-81.0,-100.0,-78.0,-83.0,-82.0,-84.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-79.0,-82.0,-86.0,-85.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172150,93.0,78.0,32.24195081707317,-11.617682661585366,-28.788292335365853,0.21879207855914634,0.7749622092073171,9.695480356707318,0.006738141512804878,-0.003627943633536587,0.004313304567987806,-0.07978494453425629,-0.022632220547565314,-1.8477553063776435,1004.4189882926829,-100.0,-100.0,-67.0,-56.0,-57.0,-69.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-67.0,-63.0,-55.0,-59.0,-60.0,-70.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-78.0,-100.0,-78.0,-60.0,-100.0,-100.0,-63.0,-100.0,-74.0,-72.0,-100.0,-60.0,-100.0,-58.0,-100.0,-100.0,-74.0,-70.0,-75.0,-84.0,-85.0,-84.0,-84.0,-70.0,-100.0,-100.0,-100.0,-85.0,-88.0,-90.0,-89.0,-82.0,-77.0,-84.0,-80.0,-76.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172202,92.0,79.0,32.602275059880235,-10.441436868263473,-30.022634245508986,0.21969309440898208,0.790158239760479,9.686911395209581,0.0016350703982035931,-0.006704886444910181,-0.001953305626047905,-0.08152298427683236,-0.022600934341006795,-1.8075789755689884,1004.4648066467064,-100.0,-100.0,-62.0,-45.0,-52.0,-67.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-62.0,-61.0,-45.0,-52.0,-56.0,-67.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-80.0,-56.0,-100.0,-100.0,-59.0,-100.0,-67.0,-67.0,-87.0,-60.0,-88.0,-60.0,-100.0,-100.0,-73.0,-69.0,-73.0,-80.0,-80.0,-82.0,-80.0,-68.0,-100.0,-84.0,-78.0,-86.0,-100.0,-100.0,-100.0,-83.0,-73.0,-100.0,-84.0,-73.0,-100.0,-88.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172214,91.0,80.0,30.522856684523806,-9.242142639285714,-30.89678524404762,0.24801364403809525,0.7862814907142858,9.684531613095238,-0.0007708538770833331,-0.0011162834377976187,-0.004861469245535714,-0.08108083857223387,-0.025631422523084785,-1.7841155273573739,1004.4553865476191,-100.0,-100.0,-100.0,-48.0,-47.0,-69.0,-83.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-59.0,-48.0,-48.0,-61.0,-71.0,-84.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-60.0,-100.0,-65.0,-65.0,-89.0,-61.0,-89.0,-61.0,-100.0,-100.0,-69.0,-65.0,-70.0,-76.0,-78.0,-88.0,-86.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-69.0,-100.0,-86.0,-72.0,-100.0,-86.0,-100.0,-88.0,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172247,88.0,83.0,28.62372635403726,-9.343602263975155,-30.470309993788817,0.286679629068323,0.7801974647826087,9.684218717391305,-0.0015138834981366458,-0.006169359487888198,-0.0026066114965838504,-0.08046125717785044,-0.029519101648203847,-1.801608473617838,1004.440145590062,-100.0,-100.0,-67.0,-53.0,-50.0,-74.0,-80.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-83.0,-100.0,-100.0,-74.0,-100.0,-66.0,-55.0,-54.0,-50.0,-67.0,-73.0,-80.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-84.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-83.0,-67.0,-100.0,-100.0,-60.0,-100.0,-71.0,-70.0,-100.0,-62.0,-100.0,-62.0,-100.0,-100.0,-65.0,-71.0,-65.0,-80.0,-79.0,-75.0,-75.0,-71.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-80.0,-71.0,-93.0,-80.0,-71.0,-100.0,-100.0,-100.0,-100.0,-88.0,-88.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172347,83.0,88.0,28.583431473372784,-10.999171337278106,-30.34792846153846,0.27299566128994085,0.7770671992899408,9.688810094674556,0.0036398892215976325,-0.0032097532908284022,-3.6145812130176965e-05,-0.08007487103607523,-0.028165952608364003,-1.855268646979473,1004.423045443787,-100.0,-100.0,-66.0,-48.0,-54.0,-70.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-66.0,-56.0,-47.0,-54.0,-63.0,-70.0,-86.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-56.0,-100.0,-64.0,-65.0,-100.0,-54.0,-100.0,-54.0,-100.0,-100.0,-71.0,-71.0,-72.0,-85.0,-84.0,-88.0,-87.0,-71.0,-100.0,-82.0,-100.0,-85.0,-100.0,-100.0,-100.0,-80.0,-76.0,-100.0,-80.0,-75.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172400,82.0,89.0,29.38626471686747,-10.512288909638555,-30.28445740963855,0.21990598310481932,0.8052450249397591,9.686204551204819,-0.0005998255478915665,-0.0001287969487951806,-0.0028924101075301204,-0.08303871144910889,-0.022692250032104084,-1.8314642942095378,1004.4179203012048,-100.0,-100.0,-57.0,-27.0,-43.0,-71.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-58.0,-68.0,-26.0,-43.0,-59.0,-71.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-59.0,-100.0,-100.0,-68.0,-100.0,-57.0,-57.0,-80.0,-49.0,-80.0,-52.0,-100.0,-100.0,-79.0,-78.0,-80.0,-78.0,-78.0,-76.0,-75.0,-76.0,-74.0,-76.0,-73.0,-78.0,-100.0,-100.0,-100.0,-66.0,-63.0,-100.0,-68.0,-64.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-83.0,-84.0,-84.0,-85.0,-82.0,-86.0,-75.0,-82.0,-75.0,-83.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172414,81.0,90.0,29.896940758823536,-12.528705608823529,-29.549293700000003,0.09923261866411763,0.776552273235294,9.689137050588236,0.0005497787376470588,-0.005307341015294118,0.0014732632811764704,-0.08008609308915976,-0.01013185861439346,-1.8950680087594425,1004.4213820588236,-100.0,-100.0,-54.0,-29.0,-45.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-53.0,-61.0,-29.0,-46.0,-54.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-87.0,-54.0,-100.0,-100.0,-61.0,-100.0,-48.0,-49.0,-79.0,-50.0,-79.0,-50.0,-100.0,-100.0,-76.0,-75.0,-77.0,-71.0,-74.0,-80.0,-79.0,-75.0,-78.0,-80.0,-77.0,-80.0,-100.0,-100.0,-100.0,-64.0,-56.0,-100.0,-63.0,-56.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-84.0,-74.0,-82.0,-72.0,-80.0,-84.0,-81.0,-84.0,-100.0,-86.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172431,80.0,89.0,11.386666450292399,27.169473257309942,-35.970876783625734,0.1633657626859649,0.9707297836842104,9.666204350877193,0.003940259295029238,-0.003547305197076023,-0.0020647959207602336,-0.10006093320965066,-0.016788870887966982,-0.37312796799062986,1004.4257423391812,-100.0,-100.0,-87.0,-28.0,-38.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-65.0,-85.0,-60.0,-65.0,-28.0,-39.0,-55.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-65.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-100.0,-66.0,-100.0,-48.0,-48.0,-89.0,-48.0,-100.0,-48.0,-100.0,-100.0,-82.0,-70.0,-80.0,-80.0,-79.0,-75.0,-74.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-65.0,-100.0,-70.0,-65.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-76.0,-76.0,-100.0,-100.0,-100.0,-100.0,-82.0,-81.0,-79.0,-79.0,-100.0,-90.0,-88.0,-84.0,-88.0,-85.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172555,73.0,82.0,7.015185088271606,25.69925894444444,-37.2674069382716,0.18263916426543209,0.7362909198765432,9.698851935185186,0.0016063493339506182,-0.0069005148805555555,-0.0024849394817901232,-0.0758166310411912,-0.018925507059281532,-0.2650078640859804,1004.4443024691357,-100.0,-100.0,-57.0,-31.0,-46.0,-69.0,-75.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-79.0,-100.0,-100.0,-75.0,-86.0,-60.0,-58.0,-31.0,-45.0,-60.0,-69.0,-76.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-76.0,-100.0,-100.0,-77.0,-87.0,-100.0,-100.0,-100.0,-84.0,-100.0,-83.0,-60.0,-100.0,-100.0,-60.0,-100.0,-53.0,-53.0,-100.0,-54.0,-100.0,-55.0,-100.0,-100.0,-78.0,-76.0,-78.0,-75.0,-75.0,-75.0,-75.0,-76.0,-78.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-66.0,-64.0,-100.0,-66.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-78.0,-100.0,-100.0,-100.0,-100.0,-88.0,-85.0,-88.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.05.19 172607,72.0,81.0,8.169629486419755,26.536295913580247,-38.136295802469135,0.17513142151419753,0.9875195311728393,9.670505774691359,0.0023831286827160495,-0.008672777954012346,-0.001700618808024691,-0.10185455475692391,-0.018146735335726336,-0.2846920492104542,1004.4229380246913,-100.0,-100.0,-100.0,-47.0,-56.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-83.0,-100.0,-100.0,-100.0,-65.0,-48.0,-56.0,-50.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-85.0,-49.0,-100.0,-100.0,-65.0,-100.0,-58.0,-61.0,-75.0,-54.0,-75.0,-55.0,-100.0,-100.0,-80.0,-74.0,-83.0,-71.0,-70.0,-100.0,-100.0,-78.0,-66.0,-100.0,-66.0,-100.0,-100.0,-100.0,-100.0,-61.0,-59.0,-100.0,-61.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-83.0,-86.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
