Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ee:a0:de:01,00:1a:ee:a0:de:07,00:1a:ee:a0:de:15,00:1a:ee:a0:de:23,00:1a:ee:a0:de:48,00:1a:ee:a0:de:52,00:1a:ee:a0:de:77,00:1a:ee:a0:de:78,00:1a:ee:a0:de:84,00:1a:ee:a0:de:86,00:1a:ee:a0:de:95,00:1a:ee:a0:df:01,00:1a:ee:a0:df:02,00:1a:ee:a0:df:14,00:1a:ee:a0:df:16,00:1a:ee:a0:df:19,00:1a:ee:a0:de:50,00:1a:ee:a0:de:58,00:1a:ee:a0:de:65,00:1a:ee:a0:de:71,00:1a:ee:a0:de:73,00:1a:ee:a0:de:88,00:1a:ee:a0:df:13,00:1a:ee:a0:df:20,00:1a:ee:a0:df:32,00:1a:ee:a0:df:45,00:1a:ee:a0:de:16,00:1a:ee:a0:de:22,00:1a:ee:a0:de:57,00:1a:ee:a0:de:99,00:1a:ee:a0:df:17,00:1a:ee:a0:de:85,00:1a:ee:a0:de:06,00:1a:ee:a0:de:72,00:1a:ee:a0:de:03,00:1a:ee:a0:de:37,00:1a:ee:a0:de:44,00:1a:ee:a0:de:53,00:1a:ee:a0:de:60,00:1a:ee:a0:de:96,00:1a:ee:a0:df:05,00:1a:ee:a0:de:12,00:1a:ee:a0:de:17,00:1a:ee:a0:de:29,00:1a:ee:a0:de:31,00:1a:ee:a0:de:55,00:1a:ee:a0:de:64,00:1a:ee:a0:de:81,00:1a:ee:a0:de:90,00:1a:ee:a0:de:91,00:1a:ee:a0:de:93,00:1a:ee:a0:df:04,00:1a:ee:a0:df:06,00:1a:ee:a0:df:09,00:08:9f:7c:21:44,00:1a:ee:a0:de:18,00:1a:ee:a0:de:82,00:1a:ee:a0:df:08,00:1a:ee:a0:df:15,00:1a:ee:a0:de:02,00:1a:ee:a0:de:21,00:1a:ee:a0:de:63,00:1a:ee:a0:de:69,00:1a:ee:a0:de:94,00:1a:ee:a0:df:03,00:1a:ee:a0:df:07,00:1a:ee:a0:df:27,00:1a:ee:a0:de:10,00:1a:ee:a0:de:11,00:1a:ee:a0:de:67,00:1a:ee:a0:de:13,00:1a:ee:a0:de:39,00:1a:ee:a0:de:32,00:1a:ee:a0:de:70,00:1a:ee:a0:df:21,00:1a:ee:a0:df:33,00:1a:ee:a0:de:19,00:1a:ee:a0:de:30,00:1a:ee:a0:de:46,00:1a:ee:a0:de:56,00:1a:ee:a0:de:79,00:1a:ee:a0:df:23,00:1a:ee:a0:df:39,00:1a:ee:a0:de:87,00:1a:ee:a0:de:04,00:1a:ee:a0:de:54,00:1a:ee:a0:de:08,00:1a:ee:a0:de:41,00:1a:ee:a0:df:26,00:1a:ee:a0:df:38,00:1a:ee:a0:df:25,00:1a:ee:a0:df:28,00:1a:ee:a0:df:29,00:1a:ee:a0:df:41,00:1a:ee:a0:de:34,00:1a:ee:a0:de:40,00:1a:ee:a0:de:47,00:1a:ee:a0:df:24,00:1a:ee:a0:df:35,00:1a:ee:a0:df:36,00:1a:ee:a0:de:35,00:1a:ee:a0:de:42,00:1a:ee:a0:de:83,00:1a:ee:a0:df:12
2021.02.11 163555,44.0,36.0,9.959999788000001,-33.842879503999995,-29.962559535999997,-0.1206103048416,0.9230126404800001,9.699006776000003,0.0095881409172,-0.0084103926492,0.0048966958587999985,-0.09489551240205762,0.012417172031709896,-2.840414608001709,1017.5846128000002,-79.0,-90.0,-82.0,-84.0,-88.0,-58.0,-84.0,-90.0,-73.0,-84.0,-82.0,-69.0,-69.0,-70.0,-82.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163605,44.0,35.0,11.050169203389833,-32.03745711864406,-30.66711812711864,-0.14249558196949155,0.8394314619491525,9.652122648305083,-0.0007920540872881379,-0.013413151245762709,-0.000926651594491525,-0.08691557193711649,0.014817245090005378,-2.79411051232936,1017.5890264406777,-100.0,-90.0,-82.0,-100.0,-100.0,-58.0,-80.0,-100.0,-79.0,-100.0,-86.0,-64.0,-69.0,-67.0,-83.0,-63.0,-90.0,-86.0,-74.0,-75.0,-90.0,-90.0,-83.0,-87.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163617,44.0,34.0,12.96724108189655,-30.52241323275862,-30.129827189655174,-0.07320890846465518,0.6518214243103447,9.666506672413792,0.000716186989655172,-0.007693742466379308,0.0001263858655172413,-0.06734156605370081,0.0076026196510265735,-2.72024495848294,1017.5772389655174,-78.0,-82.0,-84.0,-100.0,-88.0,-55.0,-84.0,-100.0,-72.0,-100.0,-86.0,-65.0,-66.0,-100.0,-100.0,-74.0,-100.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-88.0,-87.0,-88.0,-67.0,-66.0,-90.0,-81.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163630,44.0,33.0,16.454871632478635,-25.52358937606837,-23.922563837606845,-0.17934003103162388,0.845869412051282,9.668216153846156,0.005268059980341881,-0.004631089612393163,0.0019265749076923082,-0.08726040805634268,0.018560868289180334,-2.5399419731563992,1017.5698890598292,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-68.0,-100.0,-100.0,-67.0,-62.0,-65.0,-67.0,-65.0,-100.0,-100.0,-74.0,-71.0,-100.0,-100.0,-83.0,-80.0,-87.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163757,44.0,25.0,11.528571105042017,-40.27815066386554,-42.5435288907563,-0.13733462826554618,0.7946335291596638,9.67502943277311,0.006077852715126051,0.0007135316042016802,-0.00101639745882353,-0.08202607704310855,0.01421871795925551,-2.8519579462644433,1017.5110640336135,-100.0,-86.0,-81.0,-100.0,-81.0,-100.0,-100.0,-87.0,-77.0,-82.0,-86.0,-66.0,-70.0,-66.0,-86.0,-66.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-83.0,-80.0,-86.0,-87.0,-100.0,-100.0,-100.0,-100.0,-88.0,-89.0,-90.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163810,43.0,25.0,-36.025713831932784,-13.834285424369751,-47.81798260504202,-0.28305902240336134,0.9701144378151259,9.670723903361347,0.008002847956302522,-0.006052185893277311,-0.0007853979415966382,-0.10002658431645198,0.029298965583350503,1.8095558420950626,1017.4970734453784,-74.0,-67.0,-100.0,-100.0,-100.0,-54.0,-69.0,-85.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-66.0,-79.0,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-54.0,-49.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-84.0,-85.0,-74.0,-87.0,-88.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163820,42.0,25.0,-29.858360262295086,-17.72803262295082,-47.800819090163934,-0.29389807074590163,0.8245081129508195,9.674144774590166,0.00725026956680328,-0.007195191510655737,0.004721687916393443,-0.0850013199216518,0.03040086437917508,1.9829984610197975,1017.494593032787,-62.0,-100.0,-100.0,-100.0,-100.0,-58.0,-70.0,-84.0,-100.0,-100.0,-73.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-79.0,-77.0,-71.0,-78.0,-90.0,-82.0,-73.0,-73.0,-64.0,-76.0,-82.0,-78.0,-69.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 163841,40.0,25.0,-22.82181793181818,-13.262726973484849,-45.46318120454546,-0.0759614908189394,0.6018333849242424,9.690948541666668,0.0033458757784090905,-0.006150302442045456,0.0012911470575757574,-0.0620900388016845,0.007767923258355899,1.9940153712576085,1017.4852187878787,-67.0,-100.0,-100.0,-74.0,-76.0,-100.0,-70.0,-85.0,-70.0,-76.0,-72.0,-64.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-100.0,-100.0,-80.0,-100.0,-100.0,-78.0,-100.0,-100.0,-73.0,-70.0,-59.0,-100.0,-100.0,-100.0,-69.0,-100.0,-67.0,-71.0,-84.0,-83.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 164006,32.0,25.0,-23.462747778625953,-9.876183011450383,-39.81572474809161,-0.1078121816259542,0.628468813129771,9.67827706870229,0.005236653898473282,-0.003772442701908397,-0.0002611331362595417,-0.0649128111065116,0.011084705702226944,1.8675033208978085,1017.4537766412215,-70.0,-82.0,-100.0,-100.0,-100.0,-76.0,-100.0,-76.0,-100.0,-100.0,-100.0,-63.0,-100.0,-100.0,-79.0,-75.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-70.0,-58.0,-100.0,-100.0,-80.0,-68.0,-67.0,-100.0,-62.0,-100.0,-74.0,-100.0,-62.0,-88.0,-88.0,-87.0,-85.0,-71.0,-74.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 164017,31.0,25.0,-23.840999733333334,-9.952999745833333,-40.255999275,-0.24698185734166664,0.5178857816666667,9.682411070833332,0.0031815898245833333,0.00029525146291666595,-0.0039146280558333335,-0.0534105537148813,0.025468121869683533,1.8760492910941442,1017.4479376666667,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-90.0,-100.0,-69.0,-73.0,-53.0,-100.0,-78.0,-81.0,-67.0,-71.0,-100.0,-61.0,-100.0,-76.0,-100.0,-61.0,-100.0,-88.0,-90.0,-83.0,-100.0,-100.0,-100.0,-68.0,-67.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
