Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ia:ct:de:06,00:1a:ia:ct:de:07,00:1a:ia:ct:de:09,00:1a:ia:ct:de:10,00:1a:ia:ct:de:16,00:1a:ia:ct:de:17,00:1a:ia:ct:de:19,00:1a:ia:ct:de:23,00:1a:ia:ct:de:24,00:1a:ia:ct:de:29,00:1a:ia:ct:de:30,00:1a:ia:ct:de:32,00:1a:ia:ct:de:35,00:1a:ia:ct:de:36,00:1a:ia:ct:de:40,00:1a:ia:ct:de:63,00:1a:ia:ct:de:64,00:1a:ia:ct:de:66,00:1a:ia:ct:de:69,00:1a:ia:ct:de:71,00:1a:ia:ct:de:74,00:1a:ia:ct:de:75,00:1a:ia:ct:de:76,00:1a:ia:ct:de:77,00:1a:ia:ct:de:79,00:1a:ia:ct:de:80,00:1a:ia:ct:de:81,00:1a:ia:ct:de:84,00:1a:ia:ct:de:86,00:1a:ia:ct:de:89,00:1a:ia:ct:de:90,00:1a:ia:ct:de:91,00:1a:ia:ct:de:92,00:1a:ia:ct:de:93,00:1a:ia:ct:de:94,00:1a:ia:ct:de:96,00:1a:ia:ct:de:97,00:1a:ia:ct:de:98,00:1a:ia:ct:de:99,00:1a:ia:ct:df:01,00:1a:ia:ct:df:03,00:1a:ia:ct:df:04,00:1a:ia:ct:df:05,00:1a:ia:ct:df:07,00:1a:ia:ct:df:08,00:1a:ia:ct:df:09,00:1a:ia:ct:df:10,00:1a:ia:ct:df:11,00:1a:ia:ct:df:13,00:1a:ia:ct:df:14,00:1a:ia:ct:de:18,00:1a:ia:ct:de:31,00:1a:ia:ct:de:46,00:1a:ia:ct:de:65,00:1a:ia:ct:de:68,00:1a:ia:ct:de:70,00:1a:ia:ct:de:78,00:1a:ia:ct:de:83,00:1a:ia:ct:de:85,00:1a:ia:ct:df:02,00:1a:ia:ct:df:12,00:1a:ia:ct:df:15,00:1a:ia:ct:de:39,00:1a:ia:ct:de:95,00:1a:ia:ct:df:06,00:1a:ia:ct:de:58,00:1a:ia:ct:de:62,00:1a:ia:ct:de:47,00:1a:ia:ct:de:67,00:1a:ia:ct:de:72,00:1a:ia:ct:de:82,00:1a:ia:ct:de:87,00:1a:ia:ct:de:73,00:1a:ia:ct:de:88,00:23:eb:22:cc:77,94:f6:65:00:06:7c,94:f6:65:40:06:7c,50:64:2b:74:9e:a9,00:1a:ia:ct:de:59,00:1a:ia:ct:de:13,00:1a:ia:ct:de:21,00:1a:ia:ct:de:27,00:1a:ia:ct:de:34,00:1a:ia:ct:de:37,00:1a:ia:ct:de:02,00:1a:ia:ct:de:14,00:1a:ia:ct:de:20,00:1a:ia:ct:de:28,00:1a:ia:ct:de:33,00:1a:ia:ct:de:54
2021.02.12 115337,7.0,18.0,8.74396530862069,-35.34051661206897,-25.788620301724137,0.24124382688793103,0.9624778324999999,9.643086353448275,-0.0012502938703448274,0.00044544708293103527,8.366759991379252e-05,-0.09957306999070888,-0.0249862829263418,-2.86166381424871,1017.8583549137932,-88.0,-84.0,-57.0,-73.0,-61.0,-69.0,-85.0,-57.0,-73.0,-61.0,-71.0,-86.0,-75.0,-85.0,-84.0,-74.0,-87.0,-76.0,-78.0,-64.0,-66.0,-77.0,-53.0,-65.0,-86.0,-60.0,-76.0,-77.0,-64.0,-66.0,-77.0,-53.0,-65.0,-45.0,-60.0,-73.0,-55.0,-68.0,-63.0,-75.0,-66.0,-45.0,-60.0,-74.0,-57.0,-68.0,-60.0,-75.0,-67.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115350,7.0,17.0,7.85415917699115,-33.779999424778765,-23.85982268141593,0.3436949702566372,0.8038618763716814,9.651025088495574,-0.0018906119046017708,-0.0037251483819469035,0.004444634051150442,-0.08305987171762809,-0.035499500691791766,-2.8743044886968834,1017.8553722123894,-86.0,-100.0,-100.0,-88.0,-100.0,-88.0,-64.0,-100.0,-88.0,-100.0,-89.0,-64.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-67.0,-66.0,-67.0,-79.0,-42.0,-60.0,-100.0,-66.0,-88.0,-67.0,-66.0,-67.0,-79.0,-44.0,-60.0,-35.0,-45.0,-76.0,-55.0,-66.0,-62.0,-79.0,-76.0,-35.0,-45.0,-76.0,-54.0,-66.0,-60.0,-79.0,-77.0,-88.0,-51.0,-50.0,-87.0,-67.0,-51.0,-54.0,-73.0,-51.0,-54.0,-56.0,-56.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115400,7.0,16.0,5.728928455357143,-30.626785169642858,-19.50857111607143,0.13410076635357143,0.8058658685714286,9.640846883928573,0.001008102504732143,-0.0006544110998214285,0.007830070656607143,-0.08343108919715239,-0.013930917164543605,-2.9372357513223375,1017.85212125,-80.0,-100.0,-69.0,-100.0,-100.0,-86.0,-58.0,-68.0,-100.0,-100.0,-88.0,-58.0,-89.0,-93.0,-76.0,-76.0,-100.0,-89.0,-75.0,-65.0,-67.0,-80.0,-46.0,-63.0,-100.0,-67.0,-86.0,-75.0,-65.0,-64.0,-81.0,-45.0,-63.0,-32.0,-51.0,-77.0,-67.0,-67.0,-62.0,-79.0,-72.0,-32.0,-51.0,-77.0,-57.0,-67.0,-61.0,-79.0,-73.0,-90.0,-52.0,-51.0,-91.0,-71.0,-56.0,-57.0,-100.0,-56.0,-57.0,-51.0,-51.0,-100.0,-90.0,-55.0,-55.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115410,7.0,15.0,2.6484999541666667,-27.293499650000005,-16.739499766666665,0.07927044876666667,0.7283982516666666,9.635838820833333,0.0031170417863333327,-0.006377636913833333,0.00221011033725,-0.07556148249035077,-0.008133721043122901,-3.0347620169321696,1017.8500840833334,-81.0,-78.0,-66.0,-88.0,-100.0,-100.0,-57.0,-68.0,-89.0,-100.0,-100.0,-57.0,-89.0,-90.0,-77.0,-75.0,-100.0,-88.0,-77.0,-68.0,-56.0,-80.0,-50.0,-58.0,-100.0,-100.0,-88.0,-77.0,-68.0,-62.0,-80.0,-51.0,-58.0,-35.0,-46.0,-71.0,-55.0,-63.0,-65.0,-74.0,-73.0,-35.0,-46.0,-71.0,-56.0,-63.0,-65.0,-74.0,-73.0,-100.0,-48.0,-48.0,-100.0,-68.0,-63.0,-54.0,-100.0,-57.0,-54.0,-56.0,-55.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115542,10.0,10.0,22.50142834126984,1.2476190202380952,-30.939999547619045,0.0844456927174603,0.6925344867460318,9.664927353174605,0.002738887048571429,-0.0034299694295238086,0.002969813488174604,-0.07152507041714018,-0.008707791401927015,-1.4205841100405132,1017.8217707142857,-88.0,-82.0,-100.0,-100.0,-100.0,-88.0,-62.0,-100.0,-100.0,-100.0,-89.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92.0,-78.0,-72.0,-68.0,-82.0,-48.0,-60.0,-100.0,-67.0,-90.0,-78.0,-71.0,-68.0,-82.0,-49.0,-60.0,-35.0,-54.0,-79.0,-61.0,-70.0,-63.0,-81.0,-77.0,-37.0,-54.0,-78.0,-60.0,-70.0,-65.0,-82.0,-77.0,-100.0,-54.0,-51.0,-100.0,-67.0,-63.0,-62.0,-100.0,-63.0,-63.0,-59.0,-59.0,-100.0,-100.0,-61.0,-61.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115553,11.0,10.0,21.708780162601627,3.0887804406504062,-33.23317034146342,0.1905103057902439,0.5094160306504064,9.668918719512194,0.0017463195543089428,0.0007342252078048784,0.00279539872512195,-0.052664082088484956,-0.019719832220354002,-1.358614624031191,1017.813172113821,-83.0,-100.0,-100.0,-100.0,-56.0,-69.0,-67.0,-100.0,-100.0,-57.0,-69.0,-67.0,-85.0,-91.0,-76.0,-100.0,-100.0,-83.0,-75.0,-62.0,-60.0,-68.0,-44.0,-66.0,-100.0,-61.0,-82.0,-75.0,-62.0,-60.0,-68.0,-44.0,-66.0,-43.0,-69.0,-68.0,-63.0,-68.0,-52.0,-74.0,-66.0,-43.0,-69.0,-68.0,-64.0,-68.0,-53.0,-74.0,-66.0,-91.0,-57.0,-57.0,-100.0,-61.0,-100.0,-50.0,-100.0,-100.0,-51.0,-54.0,-53.0,-100.0,-100.0,-60.0,-59.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115610,12.0,10.0,22.499512040650405,2.6395121487804873,-31.83512152845529,0.17554122083739834,0.58795992,9.655506857723578,0.0021485968548780494,-0.007162325460650407,-0.0023795733944715447,-0.060811206274400835,-0.01816153861923003,-1.3760299207718392,1017.8051752032521,-82.0,-100.0,-73.0,-100.0,-54.0,-71.0,-72.0,-73.0,-100.0,-55.0,-71.0,-72.0,-88.0,-100.0,-82.0,-73.0,-100.0,-82.0,-71.0,-61.0,-59.0,-70.0,-45.0,-67.0,-100.0,-56.0,-82.0,-71.0,-61.0,-59.0,-70.0,-45.0,-67.0,-44.0,-55.0,-66.0,-57.0,-68.0,-57.0,-74.0,-68.0,-44.0,-55.0,-66.0,-57.0,-68.0,-58.0,-74.0,-68.0,-89.0,-54.0,-54.0,-87.0,-57.0,-59.0,-53.0,-73.0,-59.0,-53.0,-47.0,-52.0,-100.0,-88.0,-53.0,-53.0,-100.0,-67.0,-70.0,-79.0,-76.0,-78.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115621,13.0,10.0,21.39860845217391,-0.24939129634782603,-20.942086669565217,0.24354979770434784,0.8226520053043479,9.633187747826087,0.003076317308086956,-0.0033109163053913044,-0.0017724651940869568,-0.08518043924932892,-0.025271760228940288,-1.5030780812968378,1017.8016611304349,-86.0,-84.0,-75.0,-100.0,-58.0,-75.0,-72.0,-75.0,-100.0,-58.0,-75.0,-72.0,-85.0,-88.0,-100.0,-80.0,-100.0,-78.0,-78.0,-61.0,-61.0,-75.0,-35.0,-51.0,-91.0,-59.0,-78.0,-79.0,-61.0,-60.0,-75.0,-35.0,-51.0,-41.0,-60.0,-71.0,-52.0,-66.0,-58.0,-74.0,-59.0,-41.0,-60.0,-71.0,-40.0,-66.0,-61.0,-74.0,-59.0,-89.0,-61.0,-60.0,-89.0,-58.0,-56.0,-49.0,-100.0,-56.0,-50.0,-45.0,-47.0,-100.0,-90.0,-51.0,-50.0,-100.0,-61.0,-100.0,-100.0,-73.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115751,13.0,18.0,-5.585192221153846,19.861730471153848,-34.34769189423078,0.05295030824038461,0.6404454900961538,9.669509096153847,0.0036378435273076927,-0.0027613929780769234,0.0003352238431730772,-0.06620351812587331,-0.005446510269746955,0.23945658997847483,1017.7680424038462,-87.0,-81.0,-72.0,-100.0,-63.0,-76.0,-77.0,-73.0,-90.0,-64.0,-77.0,-77.0,-100.0,-85.0,-100.0,-100.0,-100.0,-80.0,-74.0,-55.0,-60.0,-65.0,-29.0,-49.0,-100.0,-59.0,-80.0,-74.0,-55.0,-60.0,-65.0,-30.0,-49.0,-35.0,-54.0,-65.0,-43.0,-56.0,-58.0,-72.0,-67.0,-35.0,-54.0,-67.0,-43.0,-56.0,-58.0,-72.0,-67.0,-88.0,-100.0,-100.0,-100.0,-59.0,-61.0,-46.0,-80.0,-51.0,-45.0,-50.0,-50.0,-100.0,-100.0,-56.0,-56.0,-100.0,-67.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115803,14.0,18.0,31.97894700877192,5.863157801754386,-34.68631529824562,0.10828842805614035,0.6521878577543859,9.647604385964913,0.0018524434545614025,-0.003977043560877193,0.002961903226666666,-0.06752032221278596,-0.011176055521661331,-1.3235774061136079,1017.7616488596492,-87.0,-85.0,-74.0,-84.0,-100.0,-83.0,-85.0,-100.0,-84.0,-100.0,-83.0,-85.0,-80.0,-100.0,-100.0,-80.0,-100.0,-81.0,-76.0,-65.0,-66.0,-79.0,-52.0,-64.0,-100.0,-69.0,-80.0,-77.0,-65.0,-67.0,-79.0,-52.0,-64.0,-39.0,-46.0,-77.0,-54.0,-69.0,-64.0,-82.0,-64.0,-40.0,-46.0,-78.0,-52.0,-69.0,-64.0,-81.0,-64.0,-82.0,-66.0,-70.0,-100.0,-70.0,-58.0,-52.0,-100.0,-58.0,-52.0,-46.0,-47.0,-100.0,-100.0,-63.0,-63.0,-100.0,-100.0,-77.0,-100.0,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
