Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ia:ct:de:06,00:1a:ia:ct:de:07,00:1a:ia:ct:de:09,00:1a:ia:ct:de:10,00:1a:ia:ct:de:16,00:1a:ia:ct:de:17,00:1a:ia:ct:de:19,00:1a:ia:ct:de:23,00:1a:ia:ct:de:24,00:1a:ia:ct:de:29,00:1a:ia:ct:de:30,00:1a:ia:ct:de:32,00:1a:ia:ct:de:35,00:1a:ia:ct:de:36,00:1a:ia:ct:de:40,00:1a:ia:ct:de:63,00:1a:ia:ct:de:64,00:1a:ia:ct:de:66,00:1a:ia:ct:de:69,00:1a:ia:ct:de:71,00:1a:ia:ct:de:74,00:1a:ia:ct:de:75,00:1a:ia:ct:de:76,00:1a:ia:ct:de:77,00:1a:ia:ct:de:79,00:1a:ia:ct:de:80,00:1a:ia:ct:de:81,00:1a:ia:ct:de:84,00:1a:ia:ct:de:86,00:1a:ia:ct:de:89,00:1a:ia:ct:de:90,00:1a:ia:ct:de:91,00:1a:ia:ct:de:92,00:1a:ia:ct:de:93,00:1a:ia:ct:de:94,00:1a:ia:ct:de:96,00:1a:ia:ct:de:97,00:1a:ia:ct:de:98,00:1a:ia:ct:de:99,00:1a:ia:ct:df:01,00:1a:ia:ct:df:03,00:1a:ia:ct:df:04,00:1a:ia:ct:df:05,00:1a:ia:ct:df:07,00:1a:ia:ct:df:08,00:1a:ia:ct:df:09,00:1a:ia:ct:df:10,00:1a:ia:ct:df:11,00:1a:ia:ct:df:13,00:1a:ia:ct:df:14,00:1a:ia:ct:de:18,00:1a:ia:ct:de:31,00:1a:ia:ct:de:46,00:1a:ia:ct:de:65,00:1a:ia:ct:de:68,00:1a:ia:ct:de:70,00:1a:ia:ct:de:78,00:1a:ia:ct:de:83,00:1a:ia:ct:de:85,00:1a:ia:ct:df:02,00:1a:ia:ct:df:12,00:1a:ia:ct:df:15,00:1a:ia:ct:de:39,00:1a:ia:ct:de:95,00:1a:ia:ct:df:06,00:1a:ia:ct:de:58,00:1a:ia:ct:de:62,00:1a:ia:ct:de:47,00:1a:ia:ct:de:67,00:1a:ia:ct:de:72,00:1a:ia:ct:de:82,00:1a:ia:ct:de:87,00:1a:ia:ct:de:73,00:1a:ia:ct:de:88,00:23:eb:22:cc:77,94:f6:65:00:06:7c,94:f6:65:40:06:7c,50:64:2b:74:9e:a9,00:1a:ia:ct:de:59,00:1a:ia:ct:de:13,00:1a:ia:ct:de:21,00:1a:ia:ct:de:27,00:1a:ia:ct:de:34,00:1a:ia:ct:de:37,00:1a:ia:ct:de:02,00:1a:ia:ct:de:14,00:1a:ia:ct:de:20,00:1a:ia:ct:de:28,00:1a:ia:ct:de:33,00:1a:ia:ct:de:54
2021.02.12 115813,15.0,18.0,38.230861603448275,5.4796551129310345,-30.02482718103448,-0.0557081698637931,0.6804487712068965,9.64803994827586,0.0013774800583620682,-0.0010395872898275864,-0.0008063000143965526,-0.07044990805523658,0.005738884763487831,-1.3737335523654675,1017.7559898275863,-88.0,-100.0,-100.0,-83.0,-100.0,-83.0,-83.0,-100.0,-83.0,-100.0,-84.0,-83.0,-76.0,-87.0,-100.0,-73.0,-89.0,-73.0,-75.0,-63.0,-59.0,-76.0,-46.0,-65.0,-88.0,-61.0,-74.0,-75.0,-63.0,-47.0,-76.0,-47.0,-65.0,-39.0,-53.0,-76.0,-59.0,-68.0,-63.0,-75.0,-66.0,-39.0,-53.0,-76.0,-57.0,-68.0,-64.0,-76.0,-67.0,-83.0,-100.0,-100.0,-100.0,-60.0,-60.0,-50.0,-73.0,-60.0,-50.0,-51.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-71.0,-100.0,-100.0,-100.0,-100.0,-90.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115823,16.0,18.0,35.7426312631579,7.402105106140351,-30.23473644736842,0.06367930958421053,0.5710975474298245,9.656110302631577,0.002297196273157895,-0.0024981065931578943,0.0017187391257017534,-0.059011119152337525,-0.006523889969241289,-1.3211575338715,1017.7475214035087,-85.0,-83.0,-63.0,-82.0,-100.0,-81.0,-82.0,-63.0,-82.0,-100.0,-81.0,-82.0,-77.0,-85.0,-100.0,-76.0,-87.0,-78.0,-70.0,-61.0,-61.0,-70.0,-51.0,-62.0,-86.0,-56.0,-78.0,-70.0,-61.0,-60.0,-70.0,-52.0,-62.0,-43.0,-54.0,-68.0,-53.0,-68.0,-58.0,-75.0,-67.0,-44.0,-54.0,-69.0,-54.0,-68.0,-59.0,-75.0,-67.0,-86.0,-100.0,-100.0,-90.0,-56.0,-60.0,-51.0,-100.0,-61.0,-51.0,-55.0,-54.0,-100.0,-89.0,-57.0,-58.0,-100.0,-74.0,-100.0,-100.0,-77.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 115951,22.0,16.0,2.6644247318584076,-28.540353637168145,-27.069026256637166,-0.024430077817699115,0.541508682920354,9.645134836283185,-0.0006256341099999998,-0.003871107143362833,-0.000734205912477877,-0.05610886872210329,0.002546274619366542,-3.045522810083575,1017.7038407964602,-77.0,-100.0,-57.0,-100.0,-63.0,-100.0,-79.0,-57.0,-100.0,-63.0,-100.0,-79.0,-79.0,-85.0,-100.0,-71.0,-82.0,-75.0,-73.0,-52.0,-66.0,-75.0,-48.0,-58.0,-80.0,-63.0,-74.0,-71.0,-53.0,-66.0,-75.0,-48.0,-59.0,-41.0,-48.0,-67.0,-60.0,-66.0,-60.0,-71.0,-72.0,-41.0,-48.0,-68.0,-60.0,-67.0,-61.0,-72.0,-72.0,-86.0,-66.0,-66.0,-100.0,-62.0,-60.0,-50.0,-71.0,-60.0,-50.0,-55.0,-54.0,-64.0,-100.0,-60.0,-60.0,-100.0,-100.0,-74.0,-100.0,-75.0,-79.0,-74.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120002,22.0,15.0,3.5432142499999997,-26.365713866071424,-26.22267819642857,-0.06391858636964286,0.4838359107142857,9.648970254464286,0.001771683905178571,-0.002328836487857143,0.0009960158421428579,-0.05011093886735445,0.006638627691826977,-3.0079875183956966,1017.7033833035714,-87.0,-100.0,-100.0,-84.0,-51.0,-71.0,-81.0,-100.0,-84.0,-52.0,-71.0,-81.0,-75.0,-87.0,-100.0,-100.0,-84.0,-78.0,-70.0,-64.0,-64.0,-77.0,-52.0,-66.0,-84.0,-54.0,-78.0,-70.0,-65.0,-64.0,-77.0,-52.0,-66.0,-40.0,-54.0,-70.0,-56.0,-68.0,-62.0,-76.0,-67.0,-42.0,-54.0,-70.0,-56.0,-68.0,-62.0,-76.0,-68.0,-83.0,-100.0,-100.0,-91.0,-60.0,-61.0,-51.0,-100.0,-63.0,-51.0,-48.0,-46.0,-65.0,-100.0,-58.0,-59.0,-100.0,-100.0,-74.0,-75.0,-76.0,-75.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120012,22.0,14.0,4.518420971052631,-23.844736499999996,-26.673157561403507,-0.14308942407894734,0.561562453245614,9.650838745614037,-0.0004838481395614031,-0.004829039797192982,0.0005881024165789473,-0.05814357198317318,0.014883059673338039,-2.9589230449576127,1017.6949816666665,-76.0,-100.0,-57.0,-79.0,-55.0,-69.0,-84.0,-58.0,-80.0,-55.0,-69.0,-84.0,-76.0,-84.0,-100.0,-59.0,-89.0,-76.0,-65.0,-60.0,-58.0,-68.0,-45.0,-55.0,-88.0,-60.0,-76.0,-65.0,-61.0,-58.0,-68.0,-46.0,-55.0,-46.0,-62.0,-60.0,-57.0,-62.0,-58.0,-62.0,-70.0,-46.0,-62.0,-60.0,-56.0,-62.0,-56.0,-62.0,-71.0,-80.0,-61.0,-61.0,-89.0,-60.0,-56.0,-50.0,-100.0,-56.0,-50.0,-57.0,-58.0,-100.0,-89.0,-49.0,-50.0,-100.0,-65.0,-100.0,-100.0,-72.0,-100.0,-75.0,-89.0,-89.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120022,22.0,13.0,4.85249994375,-22.500535482142855,-29.833392473214285,0.05915141419821429,0.5185315175,9.646041464285714,0.00016816249321428587,-0.005857674320178571,-0.005494427465178572,-0.0537302429521722,-0.006113363075269014,-2.9053282162972858,1017.684978125,-71.0,-73.0,-59.0,-78.0,-100.0,-70.0,-83.0,-59.0,-78.0,-100.0,-70.0,-84.0,-76.0,-84.0,-100.0,-100.0,-89.0,-78.0,-68.0,-61.0,-61.0,-69.0,-44.0,-58.0,-89.0,-63.0,-78.0,-68.0,-61.0,-61.0,-70.0,-42.0,-58.0,-48.0,-62.0,-69.0,-45.0,-59.0,-57.0,-67.0,-75.0,-47.0,-62.0,-68.0,-49.0,-59.0,-58.0,-67.0,-74.0,-83.0,-100.0,-100.0,-90.0,-62.0,-58.0,-48.0,-100.0,-58.0,-29.0,-55.0,-52.0,-100.0,-90.0,-52.0,-52.0,-100.0,-67.0,-72.0,-100.0,-67.0,-100.0,-70.0,-87.0,-88.0,-100.0,-90.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120032,22.0,12.0,5.9438399016000005,-23.702399727999996,-33.446879608,-0.058190455056000005,0.43765428272000007,9.658198184000002,0.0011655309096799994,-0.0034471127051199993,-0.0015491544044,-0.04529858129099007,0.005982980777509489,-2.8883475837707517,1017.6800799999999,-75.0,-100.0,-63.0,-79.0,-55.0,-69.0,-81.0,-64.0,-79.0,-100.0,-69.0,-81.0,-82.0,-79.0,-100.0,-66.0,-100.0,-86.0,-69.0,-58.0,-60.0,-73.0,-43.0,-55.0,-100.0,-100.0,-87.0,-69.0,-58.0,-61.0,-73.0,-42.0,-55.0,-46.0,-64.0,-63.0,-53.0,-59.0,-55.0,-68.0,-67.0,-48.0,-64.0,-63.0,-52.0,-59.0,-54.0,-68.0,-67.0,-81.0,-100.0,-100.0,-86.0,-60.0,-53.0,-48.0,-66.0,-53.0,-49.0,-51.0,-52.0,-71.0,-84.0,-49.0,-49.0,-100.0,-70.0,-100.0,-100.0,-67.0,-73.0,-67.0,-88.0,-89.0,-100.0,-100.0,-92.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120210,28.0,9.0,18.87023234883721,0.048837207441860424,-32.08511593023256,-0.02474083940465116,0.5208939748837209,9.658894341085272,0.00023792488139534897,-0.002489881995193799,-2.7124472945736654e-05,-0.05394845944287814,0.0025195833610849095,-1.4760197022164514,1017.6353276744187,-79.0,-79.0,-65.0,-79.0,-55.0,-70.0,-81.0,-65.0,-79.0,-100.0,-70.0,-81.0,-78.0,-84.0,-100.0,-100.0,-87.0,-81.0,-68.0,-61.0,-58.0,-71.0,-39.0,-54.0,-86.0,-61.0,-81.0,-68.0,-61.0,-58.0,-71.0,-40.0,-54.0,-44.0,-64.0,-61.0,-51.0,-56.0,-57.0,-70.0,-71.0,-44.0,-64.0,-61.0,-52.0,-55.0,-59.0,-70.0,-71.0,-100.0,-63.0,-100.0,-85.0,-61.0,-60.0,-46.0,-100.0,-62.0,-47.0,-53.0,-53.0,-100.0,-85.0,-50.0,-50.0,-100.0,-100.0,-71.0,-100.0,-71.0,-100.0,-70.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120221,29.0,9.0,20.25406755932203,2.9364406347457632,-31.14610134745763,-0.005579877899999999,0.6011455896610169,9.664165644067797,0.005054899443559322,-0.0018513671088135598,-0.0021016661019491525,-0.06215623701464822,0.0005634564506645695,-1.3345267924211792,1017.6336339830508,-100.0,-100.0,-69.0,-81.0,-46.0,-56.0,-89.0,-71.0,-81.0,-46.0,-56.0,-89.0,-100.0,-100.0,-100.0,-58.0,-83.0,-91.0,-84.0,-72.0,-74.0,-84.0,-47.0,-70.0,-83.0,-69.0,-92.0,-84.0,-72.0,-100.0,-83.0,-49.0,-70.0,-59.0,-82.0,-84.0,-61.0,-68.0,-63.0,-80.0,-76.0,-59.0,-83.0,-73.0,-61.0,-68.0,-63.0,-80.0,-76.0,-100.0,-73.0,-74.0,-100.0,-69.0,-71.0,-57.0,-58.0,-100.0,-56.0,-63.0,-64.0,-100.0,-100.0,-61.0,-61.0,-100.0,-100.0,-79.0,-100.0,-55.0,-100.0,-54.0,-89.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120232,30.0,9.0,22.566371442477877,4.522300813274336,-29.25398191150442,-0.0013348611539822973,0.6536582102654868,9.651131181415929,0.00187188571619469,-0.004692801901769911,-0.0020099952875221234,-0.06760198761404083,0.00016871472641381166,-1.2904918056673709,1017.6336494690265,-100.0,-100.0,-100.0,-100.0,-49.0,-53.0,-100.0,-100.0,-100.0,-48.0,-53.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-90.0,-81.0,-100.0,-90.0,-54.0,-78.0,-87.0,-77.0,-100.0,-90.0,-81.0,-100.0,-89.0,-54.0,-78.0,-61.0,-81.0,-81.0,-69.0,-80.0,-70.0,-84.0,-80.0,-62.0,-81.0,-82.0,-69.0,-81.0,-70.0,-85.0,-81.0,-100.0,-100.0,-73.0,-100.0,-77.0,-78.0,-64.0,-100.0,-100.0,-66.0,-64.0,-64.0,-100.0,-100.0,-66.0,-65.0,-100.0,-100.0,-100.0,-100.0,-58.0,-100.0,-58.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120242,31.0,9.0,26.263499608333337,3.4014999266666663,-28.178999683333338,0.010415095296666666,0.5311499143333334,9.649785437499999,0.003987524798666667,-0.0005591454954999998,0.0008305730147500005,-0.055041743419133086,-0.0011065207640692822,-1.3847313304742177,1017.6295073333332,-100.0,-100.0,-100.0,-87.0,-53.0,-60.0,-100.0,-100.0,-88.0,-53.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-89.0,-83.0,-75.0,-100.0,-58.0,-77.0,-91.0,-81.0,-100.0,-89.0,-83.0,-76.0,-100.0,-58.0,-77.0,-64.0,-80.0,-87.0,-68.0,-80.0,-100.0,-86.0,-84.0,-64.0,-81.0,-87.0,-68.0,-80.0,-100.0,-86.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-63.0,-100.0,-77.0,-63.0,-72.0,-72.0,-100.0,-100.0,-64.0,-64.0,-100.0,-100.0,-100.0,-83.0,-66.0,-83.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120420,36.0,13.0,2.5102438615447156,21.54195092682927,-38.124877463414634,-0.09660801523739837,0.8744358766666667,9.640479353658536,0.0010659250948780476,-0.004753629273495935,-0.0008598599037398382,-0.09057655246034868,0.009898647590198265,-0.08518233819584534,1017.6159841463416,-100.0,-100.0,-80.0,-100.0,-55.0,-70.0,-90.0,-100.0,-100.0,-55.0,-70.0,-91.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-80.0,-84.0,-85.0,-100.0,-100.0,-86.0,-100.0,-100.0,-100.0,-81.0,-68.0,-84.0,-88.0,-100.0,-85.0,-83.0,-91.0,-84.0,-69.0,-84.0,-87.0,-100.0,-85.0,-83.0,-89.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-71.0,-100.0,-76.0,-71.0,-66.0,-66.0,-100.0,-100.0,-72.0,-72.0,-100.0,-100.0,-100.0,-86.0,-68.0,-88.0,-67.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120431,36.0,14.0,2.721538405982906,21.223076623931632,-42.416922555555566,0.08789239617094018,0.8605064587179487,9.646574166666667,0.006463748057692306,-0.0038558595516239315,-2.894548264957191e-05,-0.08904554002369058,-0.0091207044078676,-0.12408935036669429,1017.6172987179486,-100.0,-100.0,-69.0,-100.0,-69.0,-82.0,-100.0,-68.0,-100.0,-69.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-84.0,-81.0,-57.0,-81.0,-58.0,-90.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-86.0,-86.0,-85.0,-92.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.12 120442,36.0,15.0,2.669174274311927,21.95614656880734,-44.377981128440354,-0.0007248715724770645,0.6573272792660552,9.656681472477064,0.00547830679908257,-0.001797081409541285,0.0034237147933027525,-0.06794112437156904,8.733201777806724e-05,-0.10648492612200999,1017.6202450458716,-100.0,-100.0,-62.0,-79.0,-100.0,-84.0,-100.0,-63.0,-79.0,-72.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-77.0,-100.0,-100.0,-100.0,-100.0,-67.0,-83.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-82.0,-100.0,-100.0,-89.0,-88.0,-78.0,-86.0,-81.0,-88.0
