Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a8,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ab:a0:de:a1,00:1a:ac:a0:de:b5,00:1a:ac:a0:de:b7,00:1a:ac:a0:de:b8,00:1a:ac:a0:de:d3,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h4,00:1a:ac:a0:de:i1,00:1a:ac:a0:de:i2,00:1a:ac:a0:de:i8,00:1a:ac:a0:de:k7,00:1a:ac:a0:de:k8,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:m2,00:1a:ac:a0:de:m3,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p3,00:1a:ac:a0:de:p4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:t9,00:1a:ac:a0:de:u1,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:b6,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:w7,00:1a:ab:a0:de:a4,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k9,00:1a:ac:a0:de:n3,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:w6,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f5,00:1a:ac:a0:de:f8,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:d5,00:1a:ac:a0:de:e9,00:1a:ac:a0:de:v1,00:1a:ab:a0:de:a2,00:1a:ac:a0:de:h9,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:n9,00:1a:ac:a0:de:t6,00:1a:ac:a0:de:d4,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:f7,00:1a:ac:a0:de:l8,90:9f:33:a4:06:5c,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:l1,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:d2,00:1a:ac:a0:de:c9,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:i7,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:c1,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:m5,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:q5,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:v2,00:1a:ac:a0:de:q4,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:q3,00:1a:ac:a0:de:q7,00:1a:ac:a0:de:u9,00:1a:ac:a0:de:v4,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:x5,00:1a:ac:a0:de:q1,00:1a:ac:a0:de:s9,00:1a:ac:a0:de:u7,00:1a:ac:a0:de:k5,00:1a:ac:a0:de:q8,00:1a:ac:a0:de:q9,00:1a:ac:a0:de:v6,00:1a:ac:a0:de:v5
2021.02.13 184148,1.0,24.0,36.58315764912281,2.0021052342105263,-37.08736798245614,0.22682603372807014,1.1324079778070177,9.639287403508773,-0.00489134816745614,0.0003940724872807018,0.001117508324385965,-0.11696072001206244,-0.023551303345971417,-1.406264799728728,1015.1189334210526,-67.0,-51.0,-89.0,-71.0,-88.0,-46.0,-89.0,-71.0,-62.0,-61.0,-80.0,-46.0,-66.0,-60.0,-46.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184159,2.0,24.0,37.514086391304346,1.8151304008695652,-33.1398256,0.3343240427739131,0.9678491573043478,9.64657486956522,-0.0011342703517391304,-0.005171930264782609,0.004712294308347825,-0.10000731796026227,-0.03468259979120411,-1.4426248001015705,1015.1189824347825,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-75.0,-100.0,-51.0,-75.0,-85.0,-60.0,-33.0,-81.0,-74.0,-75.0,-80.0,-71.0,-91.0,-69.0,-52.0,-57.0,-79.0,-78.0,-73.0,-91.0,-65.0,-85.0,-62.0,-86.0,-48.0,-61.0,-61.0,-83.0,-81.0,-45.0,-64.0,-33.0,-44.0,-56.0,-70.0,-76.0,-66.0,-87.0,-62.0,-86.0,-47.0,-61.0,-60.0,-83.0,-80.0,-45.0,-64.0,-33.0,-44.0,-57.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184210,3.0,24.0,39.49008781415929,1.364601736017699,-31.35345078761062,0.2205699168584071,0.9701898182300885,9.635642477876107,-0.0022332639052212383,-0.0035530788345132743,-0.0001136587492035398,-0.10036419941920091,-0.02290025546289646,-1.461637684729247,1015.1217082300884,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-50.0,-76.0,-72.0,-51.0,-76.0,-100.0,-60.0,-100.0,-74.0,-68.0,-100.0,-100.0,-65.0,-100.0,-69.0,-100.0,-61.0,-81.0,-100.0,-100.0,-100.0,-69.0,-91.0,-65.0,-90.0,-49.0,-65.0,-59.0,-83.0,-84.0,-40.0,-61.0,-35.0,-44.0,-48.0,-72.0,-100.0,-67.0,-89.0,-65.0,-90.0,-50.0,-65.0,-59.0,-83.0,-84.0,-40.0,-61.0,-35.0,-44.0,-49.0,-72.0,-82.0,-89.0,-88.0,-62.0,-90.0,-89.0,-62.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184221,4.0,24.0,37.86105218421053,-2.741052598245614,-30.090525833333334,0.2624461226403509,0.8635561143859648,9.656278359649123,-0.0011725720026315798,-0.00208153925745614,0.004139683813157895,-0.08916434514940827,-0.02719884180043117,-1.574574983956521,1015.1231757017543,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-100.0,-73.0,-74.0,-50.0,-75.0,-73.0,-52.0,-75.0,-100.0,-58.0,-51.0,-77.0,-71.0,-80.0,-85.0,-62.0,-100.0,-100.0,-56.0,-58.0,-77.0,-100.0,-100.0,-90.0,-100.0,-87.0,-62.0,-85.0,-46.0,-60.0,-57.0,-77.0,-82.0,-37.0,-58.0,-32.0,-44.0,-49.0,-72.0,-77.0,-100.0,-88.0,-58.0,-85.0,-46.0,-60.0,-56.0,-77.0,-83.0,-38.0,-58.0,-32.0,-44.0,-49.0,-72.0,-77.0,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-89.0,-82.0,-84.0,-91.0,-87.0,-79.0,-76.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184348,12.0,24.0,28.177296909909913,2.8508107666666676,-37.76756717117117,0.17704691464324324,0.6271274418018019,9.673085977477475,-0.006206055181171171,-0.0038020418135135134,-0.0010851112864864866,-0.06472372710033576,-0.01824513190218269,-1.3906425033603702,1015.1346211711711,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-56.0,-75.0,-100.0,-56.0,-75.0,-100.0,-56.0,-54.0,-75.0,-63.0,-72.0,-82.0,-68.0,-100.0,-100.0,-57.0,-53.0,-73.0,-100.0,-63.0,-87.0,-72.0,-86.0,-54.0,-83.0,-45.0,-63.0,-59.0,-77.0,-81.0,-41.0,-65.0,-33.0,-40.0,-45.0,-70.0,-64.0,-100.0,-86.0,-53.0,-84.0,-46.0,-63.0,-58.0,-78.0,-81.0,-41.0,-65.0,-33.0,-40.0,-48.0,-71.0,-73.0,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-86.0,-100.0,-86.0,-100.0,-100.0,-100.0,-65.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184402,13.0,24.0,27.47052593859649,2.7452631236842104,-38.048420412280706,0.393753195,0.6453410707017546,9.656026320175439,-0.000583140566052632,-0.00027037737850877204,1.3664234035087867e-05,-0.06668145457903539,-0.04068714357389688,-1.3933644660732203,1015.1347961403509,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-53.0,-79.0,-100.0,-67.0,-40.0,-67.0,-76.0,-65.0,-81.0,-55.0,-86.0,-100.0,-100.0,-61.0,-83.0,-100.0,-60.0,-73.0,-100.0,-84.0,-63.0,-100.0,-41.0,-54.0,-45.0,-69.0,-79.0,-100.0,-80.0,-46.0,-64.0,-48.0,-64.0,-63.0,-59.0,-84.0,-63.0,-90.0,-42.0,-54.0,-45.0,-69.0,-79.0,-100.0,-81.0,-48.0,-64.0,-49.0,-65.0,-77.0,-100.0,-82.0,-61.0,-86.0,-81.0,-57.0,-85.0,-63.0,-100.0,-86.0,-100.0,-77.0,-62.0,-100.0,-100.0,-65.0,-91.0,-87.0,-91.0,-69.0,-76.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184413,14.0,24.0,28.916896215517237,3.0967240887931036,-35.90689620689655,0.3525776044396552,0.8070563714655172,9.663974224137933,-0.005283162576293104,-0.0054917417241379315,0.006064944179482759,-0.08315470394004004,-0.03638201324140713,-1.3755045923693427,1015.131310086207,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-51.0,-79.0,-100.0,-52.0,-79.0,-100.0,-69.0,-45.0,-73.0,-100.0,-64.0,-76.0,-55.0,-100.0,-61.0,-100.0,-58.0,-83.0,-100.0,-60.0,-72.0,-64.0,-84.0,-63.0,-88.0,-41.0,-50.0,-44.0,-65.0,-82.0,-64.0,-85.0,-47.0,-68.0,-56.0,-72.0,-63.0,-64.0,-84.0,-65.0,-89.0,-40.0,-51.0,-45.0,-65.0,-83.0,-64.0,-85.0,-47.0,-68.0,-56.0,-72.0,-74.0,-100.0,-100.0,-63.0,-86.0,-100.0,-63.0,-86.0,-63.0,-100.0,-100.0,-85.0,-62.0,-66.0,-100.0,-100.0,-60.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-92.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184424,15.0,24.0,29.38460133628319,4.571681356637169,-33.134866911504425,0.21974357488495572,0.632427561858407,9.679777615044248,0.002550946286725664,-9.331084070796406e-05,0.006919400392212389,-0.06517153562961421,-0.022771332829236022,-1.3528142207491713,1015.1323976991149,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-82.0,-100.0,-55.0,-77.0,-100.0,-70.0,-47.0,-73.0,-100.0,-63.0,-77.0,-55.0,-100.0,-50.0,-74.0,-65.0,-82.0,-100.0,-100.0,-71.0,-100.0,-86.0,-62.0,-100.0,-51.0,-50.0,-44.0,-63.0,-79.0,-67.0,-85.0,-52.0,-64.0,-48.0,-66.0,-60.0,-63.0,-86.0,-66.0,-100.0,-39.0,-50.0,-44.0,-63.0,-79.0,-67.0,-87.0,-51.0,-64.0,-49.0,-66.0,-73.0,-100.0,-100.0,-100.0,-86.0,-100.0,-100.0,-85.0,-67.0,-100.0,-100.0,-100.0,-67.0,-60.0,-71.0,-100.0,-100.0,-87.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-77.0,-81.0,-90.0,-89.0,-91.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184552,23.0,24.0,36.80817355652175,6.998086849565216,-40.464521095652174,0.2705946922608696,0.4859545076521739,9.676368060869565,-0.004029240561130436,-0.0007683887973913044,0.006119940150260868,-0.05018734412024846,-0.027945565440408514,-1.3386495745700338,1015.1417171304348,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-100.0,-54.0,-78.0,-100.0,-68.0,-48.0,-68.0,-100.0,-63.0,-73.0,-62.0,-100.0,-100.0,-100.0,-63.0,-85.0,-100.0,-100.0,-100.0,-100.0,-83.0,-71.0,-100.0,-34.0,-47.0,-43.0,-61.0,-80.0,-67.0,-100.0,-56.0,-67.0,-52.0,-63.0,-58.0,-100.0,-83.0,-72.0,-100.0,-34.0,-47.0,-45.0,-61.0,-79.0,-68.0,-90.0,-55.0,-67.0,-52.0,-63.0,-76.0,-100.0,-100.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-60.0,-58.0,-100.0,-100.0,-59.0,-81.0,-100.0,-90.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.13 184603,24.0,24.0,35.798420535087715,4.088947319298246,-41.25842054385964,0.29741513550877186,0.6166517757894737,9.664133228070176,-0.0026622256383333335,-0.0030085541175438597,0.0021731263861403506,-0.06373040296398752,-0.0308054323152949,-1.3936084655293248,1015.1438336842107,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-60.0,-100.0,-100.0,-73.0,-68.0,-54.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-71.0,-100.0,-69.0,-50.0,-100.0,-79.0,-100.0,-54.0,-100.0,-100.0,-58.0,-70.0,-77.0,-100.0,-37.0,-44.0,-51.0,-71.0,-77.0,-100.0,-100.0,-62.0,-72.0,-42.0,-53.0,-55.0,-62.0,-70.0,-100.0,-100.0,-37.0,-44.0,-50.0,-71.0,-77.0,-100.0,-100.0,-64.0,-73.0,-42.0,-53.0,-100.0,-100.0,-100.0,-58.0,-79.0,-100.0,-59.0,-79.0,-56.0,-61.0,-86.0,-60.0,-61.0,-54.0,-100.0,-100.0,-63.0,-70.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-81.0,-100.0,-100.0,-69.0,-100.0,-100.0,-82.0,-82.0,-77.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
