Timestamp,True_X,True_Y,Mean_Mag_x,Mean_Mag_y,Mean_Mag_z,Mean_Acc_x,Mean_Acc_y,Mean_Acc_z,Mean_Gyro_x,Mean_Gyro_y,Mean_Gyro_z,Mean_Orn_x,Mean_Orn_y,Mean_Orn_z,Mean_Pressure,00:1a:ab:a0:de:a1,00:1a:ab:a0:de:a7,00:1a:ac:a0:de:b4,00:1a:ac:a0:de:h5,00:1a:ac:a0:de:i6,00:1a:ac:a0:de:j1,00:1a:ac:a0:de:j7,00:1a:ac:a0:de:k2,00:1a:ac:a0:de:l7,00:1a:ac:a0:de:m4,00:1a:ac:a0:de:n4,00:1a:ac:a0:de:n5,00:1a:ac:a0:de:n6,00:1a:ac:a0:de:n8,00:1a:ac:a0:de:q2,00:1a:ac:a0:de:r3,00:1a:ac:a0:de:r7,00:1a:ac:a0:de:r8,00:1a:ac:a0:de:r9,00:1a:ac:a0:de:t1,00:1a:ac:a0:de:t2,00:1a:ac:a0:de:t3,00:1a:ac:a0:de:t5,00:1a:ac:a0:de:v9,00:1a:ac:a0:de:w4,00:1a:ac:a0:de:w5,00:1a:ac:a0:de:w6,00:1a:ab:a0:de:a9,00:1a:ac:a0:de:b3,00:1a:ac:a0:de:f9,00:1a:ac:a0:de:g8,00:1a:ac:a0:de:h2,00:1a:ac:a0:de:j8,00:1a:ac:a0:de:k4,00:1a:ac:a0:de:l8,00:1a:ac:a0:de:l9,00:1a:ac:a0:de:n7,00:1a:ac:a0:de:p1,00:1a:ac:a0:de:p2,00:1a:ac:a0:de:p6,00:1a:ac:a0:de:p7,00:1a:ac:a0:de:r1,00:1a:ac:a0:de:r2,00:1a:ac:a0:de:r4,00:1a:ac:a0:de:r5,00:1a:ac:a0:de:s1,00:1a:ac:a0:de:s2,00:1a:ac:a0:de:s3,00:1a:ac:a0:de:s4,00:1a:ac:a0:de:s5,00:1a:ac:a0:de:s6,00:1a:ac:a0:de:s7,00:1a:ac:a0:de:t4,00:1a:ac:a0:de:t7,00:1a:ac:a0:de:t8,00:1a:ac:a0:de:u3,00:1a:ac:a0:de:v7,00:1a:ac:a0:de:v8,00:1a:ac:a0:de:w1,00:1a:ac:a0:de:w2,00:1a:ac:a0:de:w7,00:1a:ac:a0:de:w8,00:1a:ac:a0:de:w9,00:1a:ac:a0:de:x1,00:1a:ac:a0:de:x2,00:1a:ac:a0:de:x3,00:1a:ac:a0:de:x4,00:1a:ac:a0:de:p5,00:1a:ac:a0:de:u4,00:1a:ac:a0:de:h3,00:1a:ac:a0:de:j5,00:1a:ac:a0:de:u2,00:1a:ac:a0:de:u8,00:1a:ac:a0:de:f6,00:1a:ac:a0:de:g1,00:1a:ac:a0:de:g9,00:1a:ac:a0:de:h6,00:1a:ac:a0:de:p8,00:1a:ac:a0:de:r6,00:1a:ac:a0:de:e8,00:1a:ac:a0:de:g5,00:1a:ac:a0:de:i7,00:1a:cs:a0:de:10,00:1a:ac:a0:de:f4,00:1a:ac:a0:de:j2,00:1a:ac:a0:de:c2,00:1a:ac:a0:de:e1,00:1a:ac:a0:de:e4,00:1a:ac:a0:de:k3,00:1a:ac:a0:de:l2,00:1a:ac:a0:de:u5,00:1a:ac:a0:de:d7,00:1a:ac:a0:de:d9,88:36:6c:ef:d6:d4,00:1a:ac:a0:de:k1,00:1a:ac:a0:de:k5,00:1a:ac:a0:de:g7,00:1a:ac:a0:de:m6,00:1a:ac:a0:de:u6,00:1a:ac:a0:de:v1,00:1a:ac:a0:de:g2,00:1a:ac:a0:de:p9,00:1a:ac:a0:de:f2,00:1a:ac:a0:de:f3,00:1a:ac:a0:de:b1,00:1a:ac:a0:de:q6,00:1a:ac:a0:de:v3,00:1a:ac:a0:de:b2,00:1a:ac:a0:de:d2,00:1a:ab:a0:de:a3,00:1a:ac:a0:de:j6,00:1a:ac:a0:de:j9,00:1a:ac:a0:de:w3,00:1a:ac:a0:de:j4,64:e5:99:2c:a4:7e,00:1a:ac:a0:de:s8,00:1a:ac:a0:de:x5
2021.02.11 123545,46.0,24.0,25.65291217592593,7.047521378703703,-13.6226998287037,-0.21940527899444445,0.4511597487962962,9.755065041666668,0.0006530100107407409,-0.00010265926879629584,0.0048248340070000005,-0.0462151405367034,0.02249593698986612,-1.2759129824461761,1017.2910145370369,-77.0,-81.0,-78.0,-85.0,-67.0,-71.0,-81.0,-66.0,-76.0,-84.0,-57.0,-84.0,-77.0,-75.0,-81.0,-68.0,-69.0,-84.0,-77.0,-57.0,-84.0,-76.0,-76.0,-67.0,-68.0,-84.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123557,47.0,24.0,25.74483206730769,8.907183233653846,-13.53898383653846,-0.001475977674038463,0.6037884997115385,9.750697817307692,0.002187286675961538,-0.0033041285399038464,2.88937705096157e-05,-0.06184224755718153,0.0001468970264026015,-1.2094634140913303,1017.2921688461538,-50.0,-60.0,-73.0,-86.0,-100.0,-100.0,-55.0,-67.0,-48.0,-100.0,-71.0,-100.0,-56.0,-100.0,-100.0,-64.0,-66.0,-100.0,-29.0,-71.0,-100.0,-59.0,-100.0,-65.0,-66.0,-100.0,-29.0,-80.0,-83.0,-83.0,-75.0,-54.0,-77.0,-63.0,-77.0,-60.0,-79.0,-68.0,-88.0,-73.0,-79.0,-58.0,-70.0,-83.0,-78.0,-52.0,-64.0,-72.0,-56.0,-68.0,-46.0,-63.0,-80.0,-68.0,-88.0,-72.0,-61.0,-70.0,-83.0,-77.0,-54.0,-63.0,-72.0,-56.0,-68.0,-45.0,-63.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123608,48.0,24.0,25.74344899122807,8.273816433333334,-12.270507368421054,0.07616856870991229,0.5797553787719298,9.74993414035088,0.00024590649456140415,-0.009261697771315788,0.0048067993362631576,-0.0594034167823561,-0.007797042238228595,-1.2363873437831276,1017.2963663157896,-49.0,-61.0,-71.0,-100.0,-65.0,-100.0,-54.0,-100.0,-49.0,-100.0,-68.0,-100.0,-54.0,-100.0,-100.0,-67.0,-74.0,-91.0,-32.0,-68.0,-100.0,-53.0,-100.0,-68.0,-76.0,-100.0,-33.0,-100.0,-100.0,-86.0,-76.0,-50.0,-70.0,-57.0,-71.0,-66.0,-100.0,-63.0,-87.0,-71.0,-71.0,-49.0,-65.0,-100.0,-100.0,-49.0,-100.0,-100.0,-58.0,-73.0,-100.0,-50.0,-100.0,-63.0,-89.0,-73.0,-49.0,-65.0,-100.0,-100.0,-50.0,-63.0,-100.0,-58.0,-72.0,-100.0,-51.0,-50.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123621,48.0,23.0,12.079635695238093,-28.22534581904762,-15.586086985714287,0.18826016280190475,0.5008793723809524,9.754832276190477,0.004288199300285714,-0.009093474206190477,0.004589394510666667,-0.05127731964346903,-0.019289948977772493,-2.7173159894489105,1017.2964219047618,-58.0,-51.0,-70.0,-82.0,-67.0,-100.0,-51.0,-69.0,-50.0,-100.0,-72.0,-100.0,-51.0,-100.0,-81.0,-56.0,-67.0,-100.0,-36.0,-73.0,-100.0,-50.0,-100.0,-57.0,-100.0,-100.0,-37.0,-79.0,-80.0,-89.0,-79.0,-47.0,-72.0,-62.0,-100.0,-63.0,-87.0,-63.0,-100.0,-70.0,-70.0,-46.0,-64.0,-79.0,-100.0,-50.0,-66.0,-73.0,-57.0,-70.0,-41.0,-54.0,-88.0,-63.0,-100.0,-70.0,-46.0,-64.0,-79.0,-100.0,-50.0,-66.0,-72.0,-58.0,-70.0,-41.0,-55.0,-62.0,-70.0,-74.0,-80.0,-62.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123632,48.0,22.0,12.11781719811321,-29.695291905660376,-14.015583641509435,0.014891007251886792,0.5868682014150943,9.740970448113208,0.0032920333099056595,-0.010067140232018866,0.006071850359528302,-0.06017907900419433,-0.0015195601073122295,-2.742568551369433,1017.3030964150945,-56.0,-68.0,-100.0,-100.0,-71.0,-100.0,-66.0,-67.0,-56.0,-100.0,-72.0,-100.0,-64.0,-100.0,-100.0,-67.0,-77.0,-100.0,-55.0,-72.0,-100.0,-66.0,-100.0,-70.0,-77.0,-100.0,-55.0,-100.0,-100.0,-87.0,-67.0,-100.0,-65.0,-65.0,-71.0,-100.0,-83.0,-67.0,-77.0,-71.0,-77.0,-62.0,-76.0,-81.0,-100.0,-61.0,-74.0,-78.0,-64.0,-61.0,-56.0,-59.0,-83.0,-66.0,-78.0,-71.0,-62.0,-76.0,-80.0,-100.0,-61.0,-75.0,-78.0,-65.0,-61.0,-56.0,-59.0,-62.0,-79.0,-84.0,-89.0,-60.0,-100.0,-80.0,-77.0,-83.0,-88.0,-90.0,-93.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123655,48.0,20.0,14.174039296296298,-19.769707731481482,-4.411966712962963,-0.002560828431481482,0.39415401824074076,9.754476166666667,0.003821002064351852,-0.006794081444435185,0.0022011654171217596,-0.04040299417209566,0.00029289002904314676,-2.5148359846185753,1017.3144859259259,-62.0,-70.0,-82.0,-100.0,-71.0,-80.0,-60.0,-71.0,-57.0,-100.0,-84.0,-100.0,-77.0,-100.0,-100.0,-69.0,-80.0,-100.0,-56.0,-83.0,-100.0,-79.0,-100.0,-69.0,-79.0,-100.0,-55.0,-91.0,-88.0,-88.0,-64.0,-56.0,-60.0,-100.0,-63.0,-72.0,-100.0,-72.0,-88.0,-83.0,-100.0,-100.0,-100.0,-71.0,-100.0,-64.0,-88.0,-100.0,-75.0,-78.0,-72.0,-77.0,-100.0,-77.0,-87.0,-83.0,-100.0,-100.0,-71.0,-100.0,-64.0,-86.0,-100.0,-75.0,-78.0,-73.0,-77.0,-83.0,-100.0,-83.0,-100.0,-84.0,-100.0,-100.0,-73.0,-86.0,-100.0,-100.0,-100.0,-87.0,-88.0,-85.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123741,48.0,16.0,8.019686375925925,-32.5219267962963,-20.033050046296292,-0.09903446272222223,0.3651021609259259,9.757028578703704,-6.277423465740763e-05,-0.01152001736537037,0.0006267900675925926,-0.03738412671481014,0.01015698276373933,-2.9002044333351984,1017.4021277777779,-55.0,-72.0,-84.0,-82.0,-65.0,-77.0,-56.0,-100.0,-55.0,-100.0,-87.0,-100.0,-79.0,-100.0,-100.0,-70.0,-89.0,-100.0,-62.0,-88.0,-100.0,-79.0,-100.0,-70.0,-89.0,-100.0,-62.0,-100.0,-100.0,-91.0,-56.0,-48.0,-70.0,-72.0,-69.0,-76.0,-100.0,-86.0,-87.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-72.0,-92.0,-100.0,-80.0,-84.0,-79.0,-100.0,-100.0,-86.0,-85.0,-100.0,-100.0,-100.0,-70.0,-100.0,-72.0,-91.0,-100.0,-79.0,-85.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-90.0,-87.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123753,48.0,15.0,12.754069504545456,-32.90129417272727,-17.495813136363637,-0.09836612765181817,0.2809509737272727,9.764438586363637,0.002448804938200001,-0.006194080945818181,0.0015901017622727276,-0.028765203185718125,0.010072752754852159,-2.770962591604753,1017.4279239090911,-62.0,-66.0,-100.0,-100.0,-100.0,-70.0,-47.0,-100.0,-100.0,-100.0,-68.0,-100.0,-60.0,-100.0,-100.0,-56.0,-67.0,-100.0,-44.0,-69.0,-100.0,-60.0,-100.0,-56.0,-100.0,-100.0,-44.0,-81.0,-100.0,-88.0,-79.0,-54.0,-70.0,-100.0,-78.0,-75.0,-100.0,-100.0,-80.0,-65.0,-100.0,-60.0,-72.0,-81.0,-80.0,-64.0,-66.0,-76.0,-66.0,-60.0,-52.0,-53.0,-100.0,-100.0,-83.0,-65.0,-60.0,-72.0,-80.0,-77.0,-64.0,-66.0,-75.0,-65.0,-60.0,-51.0,-54.0,-62.0,-100.0,-73.0,-82.0,-62.0,-100.0,-85.0,-100.0,-100.0,-82.0,-90.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-100.0,-84.0,-85.0,-84.0,-90.0,-80.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123804,48.0,14.0,12.865983050925927,-29.17424714814815,-20.164579611111108,-0.16853854091666667,0.40680477546296295,9.755141796296297,0.003169179564305555,-0.006781880171574074,0.0029606386437962965,-0.04166376620048169,0.01729033816028037,-2.7251898602203086,1017.4592343518519,-54.0,-73.0,-81.0,-85.0,-52.0,-73.0,-52.0,-69.0,-44.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-67.0,-100.0,-100.0,-57.0,-80.0,-100.0,-100.0,-100.0,-65.0,-100.0,-100.0,-57.0,-100.0,-100.0,-100.0,-60.0,-39.0,-80.0,-61.0,-85.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-86.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2021.02.11 123815,48.0,13.0,9.241326521698111,-27.857772500000003,-18.124882735849056,-0.02418969860726415,0.39675004018867915,9.754662594339624,0.003441081386981132,-0.009720057435377358,0.0021437790231924525,-0.04067950177375434,0.0024595887517311443,-2.8143312751122243,1017.4960624528302,-68.0,-80.0,-82.0,-82.0,-60.0,-71.0,-69.0,-64.0,-57.0,-100.0,-88.0,-100.0,-83.0,-100.0,-100.0,-68.0,-100.0,-100.0,-63.0,-100.0,-100.0,-82.0,-100.0,-68.0,-82.0,-100.0,-62.0,-100.0,-100.0,-100.0,-62.0,-52.0,-73.0,-100.0,-75.0,-81.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-81.0,-94.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-76.0,-100.0,-81.0,-93.0,-100.0,-89.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-73.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
